,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
0,"$23,652 ",Acura,ILX,2016,4,5,Transmission: 8-Speed Dual-Clutch -inc: torque converter and Sequential SportShift paddle shifters,Front Wheel Drive,6.63 sec,29 mpg,201 hp,"6,800",180 ft-lbs.,"3,600",4,2.40 L,"					Gas",Transmission: 8-Speed Dual-Clutch -inc: torque converter and Sequential SportShift paddle shifters,3.08,2.18,1.61,1.22,0.96,0.74,0.62,0.48,3.94,2.22,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,11.10 in.,NA in.,"					ABS Brakes",4-Wheel,P215/45VR17,P215/45VR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P215/45VR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,095 lbs.",13.20 gal.,,,,,,181.90 in.,70.6,55.60 in.,105.10 in.,59.40 in.,60.20 in.,,36.80 ft.,38.00 in.,42.30 in.,55.60 in.,50.30 in.,35.90 in.,34.00 in.,53.50 in.,51.70 in.,,,,
1,"$38,426 ",Acura,MDX,2016,4,7,Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters and Electronic Gear Selector,Front Wheel Drive,6.96 sec,22 mpg,290 hp,"6,200",267 ft-lbs.,"4,700",6,3.50 L,"					Gas",Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters and Electronic Gear Selector,4.71,2.84,1.91,1.38,1,0.81,0.7,0.58,4.33,3.83,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/55HR19,P245/55HR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/55HR19,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,001 lbs.",19.50 gal.,350 lbs,"3,500 lbs","3,500 lbs",350 lbs,"3,500 lbs",193.60 in.,77.2,67.60 in.,111.00 in.,66.30 in.,66.30 in.,5.60 in.,38.70 ft.,38.10 in.,41.50 in.,61.10 in.,59.00 in.,38.30 in.,36.50 in.,59.10 in.,57.80 in.,35.60 in.,27.40 in.,54.70 in.,40.60 in.
2,"$31,646 ",Acura,RDX,2016,4,5,Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters,Front Wheel Drive,6.85 sec,23 mpg,279 hp,"6,200",252 ft-lbs.,"4,900",6,3.50 L,"					Gas",Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters,3.36,2.09,1.48,1.06,0.75,0.56,,,4.25,2.27,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,12.00 in.,NA in.,"					ABS Brakes",4-Wheel,P235/60VR18,P235/60VR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P235/60VR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,768 lbs.",16.00 gal.,150 lbs,"1,500 lbs","1,500 lbs",150 lbs,"1,500 lbs",184.40 in.,73.7,65.00 in.,105.70 in.,63.10 in.,63.40 in.,5.40 in.,38.90 ft.,38.70 in.,42.00 in.,58.70 in.,55.70 in.,38.10 in.,38.30 in.,57.20 in.,53.80 in.,,,,
3,"$48,964 ",Acura,RLX,2016,4,5,Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters,Front Wheel Drive,6.62 sec,24 mpg,310 hp,"6,500",272 ft-lbs.,"4,500",6,3.50 L,"					Gas",Transmission: 6-Speed Automatic -inc: Sequential SportShift paddle shifters,3.38,2.11,1.49,1.06,0.76,0.56,,,4.25,2.26,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40WR19,P245/40WR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/40WR19,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,003 lbs.",18.50 gal.,,,,,,196.10 in.,74.4,57.70 in.,112.20 in.,64.30 in.,64.20 in.,3.80 in.,40.50 ft.,37.60 in.,42.30 in.,59.60 in.,55.90 in.,36.90 in.,38.80 in.,57.00 in.,54.50 in.,,,,
4,"$28,957 ",Acura,TLX,2016,4,5,Transmission: 8-Speed Dual-Clutch,Front Wheel Drive,7.13 sec,28 mpg,206 hp,"6,800",182 ft-lbs.,"4,500",4,2.40 L,"					Gas",Transmission: 8-Speed Dual-Clutch,3.08,2.18,1.61,1.22,0.96,0.74,0.62,0.48,4.57,2.22,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P225/55VR17,P225/55VR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/55VR17,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,492 lbs.",17.20 gal.,,,,,,190.30 in.,73,57.00 in.,109.30 in.,62.80 in.,63.10 in.,,39.20 ft.,37.20 in.,42.60 in.,57.50 in.,55.30 in.,36.70 in.,34.50 in.,55.40 in.,54.90 in.,,,,
5,"$53,379 ",Alfa Romeo,4C,2016,2,2,,Rear Wheel Drive,,28 mpg,237 hp,"6,000",258 ft-lbs.,"2,200",4,1.70 L,"					Gas",,4.15,2.27,1.44,0.98,0.76,0.62,,,4.12,,Double Wishbone,Strut,"					Front Disc Brakes","					Rear Disc Brakes",12.00 in.,11.50 in.,NA in.,"					ABS Brakes",4-Wheel,P205/45YR17,P235/40YR18,17.00 in.,18.00 in.,7.00 in.,8.00 in.,P235/40YR18,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","2,465 lbs.",10.50 gal.,,,,,,157.00 in.,73.5,46.60 in.,93.70 in.,64.50 in.,63.10 in.,,40.50 ft.,38.00 in.,42.70 in.,49.80 in.,,,,,,,,,
6,"$190,598 ",Aston Martin,DB9,2016,2,4,Transmission: Touchtronic 2 6-Speed Automatic -inc: manual mode,Rear Wheel Drive,3.71 sec,15 mpg,540 hp,"6,750",457 ft-lbs.,"5,500",12,6.00 L,"					Gas",Transmission: Touchtronic 2 6-Speed Automatic -inc: manual mode,4.17,2.34,1.52,1.14,0.87,0.69,,,3.46,3.4,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.70 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/35YR20,P295/30YR20,20.00 in.,20.00 in.,8.50 in.,11.00 in.,P295/30YR20,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","3,935 lbs.",20.60 gal.,,,,,,185.80 in.,74,50.50 in.,107.90 in.,62.20 in.,62.20 in.,,41.00 ft.,36.20 in.,42.70 in.,54.80 in.,,,,,,,,,
7,,Aston Martin,DB9 GT,2016,,, 6-speed shiftable automatic, Rear wheel drive,3.98 sec,,540 hp,"6,750",457 ft-lbs.,"5,500",12,5.90 L,"					Gas", 6-speed shiftable automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,935 lbs.",20.60 gal.,,,,,,185.80 in.,,50.50 in.,107.90 in.,,,,,,,,,,,,,,,,
8,"$166,860 ",Aston Martin,Rapide,2016,4,4,Transmission: Touchtronic III 8-Speed Automatic -inc: electronic shift-by-wire control system,Rear Wheel Drive,4.25 sec,17 mpg,552 hp,"6,650",465 ft-lbs.,"5,500",12,6.00 L,"					Gas",Transmission: Touchtronic III 8-Speed Automatic -inc: electronic shift-by-wire control system,4.71,3.14,2.11,1.67,1.28,1,0.84,0.66,2.73,3.32,Double Wishbone,Double Wishbone,"					Front Disc Brakes","					Rear Disc Brakes",15.80 in.,14.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40YR20,P295/35YR20,20.00 in.,20.00 in.,8.50 in.,11.00 in.,P295/35YR20,Compact,Aluminum,Aluminum,Aluminum,"					Tire Pressure Monitor","4,387 lbs.",23.90 gal.,,,,,,197.60 in.,75.9,53.50 in.,117.70 in.,62.60 in.,63.50 in.,,41.00 ft.,36.40 in.,42.70 in.,54.80 in.,,,,,,,,,
9,,Aston Martin,Rapide S,2016,,, 8-speed shiftable automatic, Rear wheel drive,4.25 sec,,552 hp,"6,650",465 ft-lbs.,"5,500",12,5.90 L,"					Gas", 8-speed shiftable automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,387 lbs.",23.90 gal.,,,,,,197.60 in.,75.9,53.50 in.,117.70 in.,,,,41.00 ft.,37.30 in.,42.80 in.,,,36.90 in.,30.10 in.,,,,,,
