Index,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
1,46300,Acura,MDX,2019,4,7,"Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters, 3-mode integrated dynamics system, Electronic Gear Selector and hill start assist",All Wheel Drive,6.43 sec,22 mpg,290 hp,6200,267 ft-lbs.,4700,6,3.50 L,"					Gas","Transmission: 9-Speed Automatic -inc: Sequential SportShift w/paddle shifters, 3-mode integrated dynamics system, Electronic Gear Selector and hill start assist",4.71,2.84,1.91,1.38,1,0.81,0.7,0.58,4.33,3.83,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/60HR18,P245/60HR18,18.00 in.,18.00 in.,8.00 in.,8.00 in.,P245/60HR18,Compact,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,239 lbs.",19.50 gal.,350 lbs,"3,500 lbs","3,500 lbs",350 lbs,"3,500 lbs",196.20 in.,77.7,67.40 in.,111.00 in.,66.30 in.,66.30 in.,5.60 in.,38.70 ft.,38.10 in.,41.40 in.,61.10 in.,57.50 in.,38.30 in.,38.50 in.,59.10 in.,57.80 in.,35.60 in.,28.10 in.,54.70 in.,40.60 in.
2,45500,Acura,RDX,2019,4,5,Transmission: 10-Speed Automatic -inc: sequential SportShift paddle shifters,All Wheel Drive,6.48 sec,23 mpg,272 hp,6500,280 ft-lbs.,1600,4,2.00 L,"					Gas",Transmission: 10-Speed Automatic -inc: sequential SportShift paddle shifters,5.25,3.27,2.19,1.6,1.3,1,0.78,0.65,4.17,3.97,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.40 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P255/45VR20,P255/45VR20,20.00 in.,20.00 in.,8.00 in.,8.00 in.,P255/45VR20,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,015 lbs.",17.10 gal.,,,,,,186.80 in.,74.8,65.70 in.,108.30 in.,64.20 in.,64.70 in.,5.70 in.,39.00 ft.,39.60 in.,41.60 in.,59.70 in.,55.00 in.,38.30 in.,38.40 in.,56.60 in.,49.90 in.,,,,
3,61900,Acura,RLX,2019,4,5,Transmission: 7-Speed Dual Clutch (DCT) -inc: motor integration and Sequential SportShift paddle shifters,All Wheel Drive,4.75 sec,28 mpg,377 hp,6500,341 ft-lbs.,4700,6,3.50 L,"					Gas",Transmission: 7-Speed Dual Clutch (DCT) -inc: motor integration and Sequential SportShift paddle shifters,4.4,2.75,2.03,1.55,1.14,0.84,0.62,,3.58,3.66,Double Wishbone,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.00 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40WR19,P245/40WR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/40WR19,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","4,380 lbs.",15.10 gal.,,,,,,198.10 in.,74.4,57.70 in.,112.20 in.,64.30 in.,64.20 in.,3.80 in.,40.50 ft.,37.60 in.,42.30 in.,59.60 in.,55.90 in.,36.90 in.,38.80 in.,57.00 in.,54.50 in.,,,,
4,39400,Acura,TLX,2019,4,5,Transmission: 8-Speed Dual-Clutch,Front Wheel Drive,7.26 sec,26 mpg,206 hp,6800,182 ft-lbs.,4500,4,2.40 L,"					Gas",Transmission: 8-Speed Dual-Clutch,3.08,2.18,1.61,1.22,0.96,0.74,0.62,0.48,4.57,2.22,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.60 in.,12.20 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40VR19,P245/40VR19,19.00 in.,19.00 in.,8.00 in.,8.00 in.,P245/40VR19,NA,Aluminum,Aluminum,NA,"					Tire Pressure Monitor","3,580 lbs.",17.20 gal.,,,,,,191.70 in.,73,57.00 in.,109.30 in.,62.80 in.,63.10 in.,,39.20 ft.,37.20 in.,42.60 in.,57.50 in.,55.30 in.,36.70 in.,34.50 in.,55.40 in.,54.90 in.,,,,
5,38900,Audi,A3 Cabriolet,2019,2,4,,Front Wheel Drive,6.9 sec,25 mpg,186 hp,4400,221 ft-lbs.,1600,4,2.00 L,"					Gas",,3.4,2.75,1.77,0.93,0.7,0.76,0.64,,4.77,2.9,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,10.70 in.,NA in.,"					ABS Brakes",4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/45HR17,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,428 lbs.",13.20 gal.,,,,,,174.10 in.,,55.50 in.,102.20 in.,61.20 in.,60.10 in.,,36.10 ft.,37.40 in.,41.20 in.,54.80 in.,,36.30 in.,31.90 in.,45.70 in.,,,,,
6,32500,Audi,A3 Sedan,2019,4,5,,Front Wheel Drive,6.6 sec,29 mpg,186 hp,4400,221 ft-lbs.,1600,4,2.00 L,"					Gas",,3.4,2.75,1.77,0.93,0.7,0.76,0.64,,4.77,2.9,Strut,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.30 in.,10.70 in.,NA in.,"					ABS Brakes",4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/45HR17,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,197 lbs.",13.20 gal.,,,,,,175.50 in.,70.7,55.70 in.,103.80 in.,61.20 in.,60.10 in.,,36.10 ft.,39.60 in.,41.20 in.,54.80 in.,,36.40 in.,35.10 in.,53.00 in.,,,,,
7,37400,Audi,A4,2019,4,5,Transmission: 7-Speed S tronic,Front Wheel Drive,8.55 sec,30 mpg,190 hp,4200,236 ft-lbs.,1450,4,2.00 L,"					Gas",Transmission: 7-Speed S tronic,3.56,2.53,1.68,1.02,0.79,0.76,0.64,,4.23,2.79,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",12.40 in.,11.80 in.,NA in.,"					ABS Brakes",4-Wheel,P225/50HR17,P225/50HR17,17.00 in.,17.00 in.,7.50 in.,7.50 in.,P225/50HR17,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,450 lbs.",15.30 gal.,,,,,,186.10 in.,72.5,56.20 in.,111.00 in.,61.90 in.,61.20 in.,,38.10 ft.,38.90 in.,41.30 in.,55.90 in.,,37.40 in.,35.70 in.,54.50 in.,,,,,
8,45700,Audi,A4 allroad,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto,All Wheel Drive,5.81 sec,25 mpg,252 hp,5000,273 ft-lbs.,1600,4,2.00 L,"					Gas",Transmission: 7-Speed S tronic Dual-Clutch Auto,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.41,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.30 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/45HR18,P245/45HR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P245/45HR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,825 lbs.",15.30 gal.,,,,,,187.00 in.,72.5,58.80 in.,110.90 in.,62.10 in.,61.70 in.,6.50 in.,38.10 ft.,39.20 in.,41.30 in.,55.90 in.,,37.40 in.,35.70 in.,54.50 in.,,,,,
9,44200,Audi,A5,2019,2,4,Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: shift paddles,All Wheel Drive,5.49 sec,27 mpg,252 hp,5000,273 ft-lbs.,1600,4,2.00 L,"					Gas",Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: shift paddles,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.41,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.30 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40HR18,P245/40HR18,18.00 in.,18.00 in.,8.50 in.,8.50 in.,P245/40HR18,Compact,Aluminum,Aluminum,Steel,"					Tire Pressure Monitor","3,549 lbs.",15.30 gal.,,,,,,184.00 in.,72.7,54.00 in.,108.80 in.,62.50 in.,61.70 in.,,37.70 ft.,39.00 in.,41.30 in.,55.30 in.,,,32.70 in.,50.70 in.,,,,,
10,52300,Audi,A5 Sportback,2019,4,5,Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: shift paddles,All Wheel Drive,5.67 sec,27 mpg,252 hp,5000,273 ft-lbs.,1600,4,2.00 L,"					Gas",Transmission: 7-Speed S tronic Dual-Clutch Auto -inc: shift paddles,3.19,2.19,1.52,1.06,0.74,0.51,0.39,,4.27,2.75,Multi-Link,Multi-Link,"					Front Disc Brakes","					Rear Disc Brakes",13.30 in.,13.00 in.,NA in.,"					ABS Brakes",4-Wheel,P245/40HR18,P245/40HR18,18.00 in.,18.00 in.,8.50 in.,8.50 in.,P245/40HR18,Compact,Aluminum,Aluminum,Steel,,"3,704 lbs.",15.30 gal.,,,,,,186.30 in.,72.6,54.60 in.,111.20 in.,62.50 in.,61.70 in.,,38.40 ft.,39.40 in.,41.30 in.,55.70 in.,,,35.10 in.,54.50 in.,,,,,
