Match Index,0-60 mph,EPA mileage (combined),Torque,Price,Arbitrary Score,Make,Model,Year,Ranking,Engine Type
529,0.347962382,1,0.296437659,0.077034354,2.292375477,Tesla,Model 3,2018,1,Electric
1184,0.204545455,0.760828625,0.522722646,0.098119413,2.003639963,Tesla,Model S,2016,2,Electric
1185,0.201410658,0.760828625,0.522722646,0.099805385,2.003165667,Tesla,Model X,2016,3,Electric
58,0.504702194,0.906779661,0.244274809,0.05126604,1.750145243,Chevrolet,Bolt EV,2019,4,Electric
297,0.504702194,0.906779661,0.244274809,0.05126604,1.750145243,Chevrolet,Bolt EV,2018,5,Electric
530,0.201410658,0.762711864,0.522722646,0.17069947,1.725239042,Tesla,Model S,2018,6,Electric
847,0.347962382,0.760828625,0.296437659,0.066627119,1.616490294,Tesla,Model 3,2017,7,Electric
958,0.561912226,0.760828625,0.321882952,0.017394653,1.410965765,Chevrolet,Spark,2016,8,Electric
849,0.297805643,0.760828625,0.411908397,0.174862364,1.399333531,Tesla,Model X,2017,9,Electric
531,0.201410658,0.63559322,0.522722646,0.174862364,1.327231533,Tesla,Model X,2018,10,Electric
638,0.504702194,0.760828625,0.244274809,0.05126604,1.312292136,Chevrolet,Bolt EV,2017,11,Electric
848,0.330721003,0.760828625,0.37351145,0.17069947,1.311757439,Tesla,Model S,2017,12,Electric
912,0.475705329,0.760828625,0.139949109,0.046528667,1.28490966,BMW,i3,2016,13,Electric
264,0.54153605,0.822033898,0.139949109,0.075577341,1.220669339,BMW,i3,2018,14,Electric
612,0.475705329,0.760828625,0.139949109,0.063296804,1.217837112,BMW,i3,2017,15,Electric
869,0.57523511,0.760828625,0.178117048,0.045385952,1.128588896,Volkswagen,e-Golf,2017,16,Electric
341,0.652037618,0.805084746,0.139949109,0.035655187,1.108507362,Ford,Focus Electric,2018,17,Electric
127,0.339341693,0.542372881,0.557251908,0.119704018,1.026871094,Jaguar,I-Pace,2019,18,Electric
998,0.652037618,0.760828625,0.139949109,0.024221799,1.021472555,Ford,Focus Electric,2016,19,Electric
1117,0.678683386,0.760828625,0.22519084,0.044925953,0.970606135,Mercedes-Benz,B-Class,2016,20,Electric
839,0.619122257,0.760828625,0.055979644,0.033323967,0.966925139,smart,fortwo electric drive,2017,21,Electric
494,0.709247649,0.760828625,0.20610687,0.037466046,0.920233263,Nissan,Leaf,2018,22,Electric
798,0.678683386,0.760828625,0.22519084,0.058093186,0.917937199,Mercedes-Benz,B-Class,2017,23,Electric
1067,0.754702194,0.760828625,0.17302799,0.028909218,0.830472607,Kia,Soul EV,2016,24,Electric
424,0.754702194,0.760828625,0.17302799,0.045708577,0.763275171,Kia,Soul EV,2018,25,Electric
758,0.754702194,0.760828625,0.17302799,0.045708577,0.763275171,Kia,Soul EV,2017,26,Electric
387,0.797805643,0.760828625,0.183206107,0.036446137,0.724296148,Hyundai,IONIQ Electric,2018,27,Electric
725,0.797805643,0.760828625,0.183206107,0.036446137,0.724296148,Hyundai,Ioniq Electric,2017,28,Electric
1174,0.764106583,0.760828625,0.027989822,0.017192752,0.713491522,smart,fortwo electric drive,2016,29,Electric
982,0.798589342,0.760828625,0.092875318,0.028657363,0.663553061,FIAT,500e,2016,30,Electric
1208,0.862068966,0.760828625,0.159033079,0.023926234,0.62167609,Volkswagen,e-Golf,2016,31,Electric
520,0.797805643,0.760828625,0.055979644,0.033532112,0.608725789,smart,fortwo electric drive,2018,32,Electric
328,0.798589342,0.760828625,0.092875318,0.043720795,0.603299332,FIAT,500e,2018,33,Electric
675,0.798589342,0.760828625,0.092875318,0.043720795,0.603299332,FIAT,500e,2017,34,Electric
994,0.275862069,0.126649394,1,0.06449988,0.570224523,Ford,F-450 Super Duty,2016,35,#N/A
1141,0.887147335,0.760828625,0.143765903,0.023953292,0.556143939,Nissan,Leaf,2016,36,Electric
